"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2015","2","1","Midwest","3","67","Notre Dame","Butler","64","6","ACC","BE"
"2015","2","1","Midwest","1","64","Kentucky","Cincinnati","51","8","SEC","Amer"
"2015","2","2","West","4","87","North Carolina","Arkansas","78","5","ACC","SEC"
"2015","2","2","West","2","73","Arizona","Ohio St","58","10","P12","B10"
"2015","2","2","West","1","72","Wisconsin","Oregon","65","8","B10","P12"
"2015","2","2","West","14","67","Georgia St","Xavier","75","6","SB","BE"
"2015","2","3","East","3","72","Oklahoma","Dayton","66","11","B12","A10"
"2015","2","3","East","1","68","Villanova","NC State","71","8","BE","ACC"
"2015","2","3","East","2","54","Virginia","Michigan St","60","7","ACC","B10"
"2015","2","3","East","4","66","Louisville","Northern Iowa","53","5","ACC","MVC"
"2015","2","4","South","2","87","Gonzaga","Iowa","68","7","WCC","B10"
"2015","2","4","South","14","75","UAB","UCLA","92","11","CUSA","P12"
"2015","2","4","South","4","64","Georgetown","Utah","75","5","BE","P12"
"2015","2","4","South","1","68","Duke","San Diego St","49","8","ACC","MWC"
"2015","3","1","Midwest","1","78","Kentucky","West Virginia","39","5","SEC","B12"
"2015","3","2","West","2","68","Arizona","Xavier","60","6","P12","BE"
"2015","3","2","West","1","79","Wisconsin","North Carolina","72","4","B10","ACC"
"2015","3","3","East","7","62","Michigan St","Oklahoma","58","3","B10","B12"
"2015","3","3","East","8","65","NC State","Louisville","75","4","ACC","ACC"
"2015","3","4","South","2","74","Gonzaga","UCLA","62","11","WCC","P12"
"2015","3","4","South","1","63","Duke","Utah","57","5","ACC","P12"
"2015","4","1","Midwest","1","68","Kentucky","Notre Dame","66","3","SEC","ACC"
"2015","4","2","West","1","85","Wisconsin","Arizona","78","2","B10","P12"
"2015","4","3","East","4","70","Louisville","Michigan St","76","7","ACC","B10"
"2015","4","4","South","1","66","Duke","Gonzaga","52","2","ACC","WCC"
"2015","5","1","Final Four","1","64","Kentucky","Wisconsin","71","1","SEC","B10"
"2015","5","2","Final Four","7","61","Michigan St","Duke","81","1","B10","ACC"
"2015","6","1","Championship","1","63","Wisconsin","Duke","68","1","B10","ACC"
"2016","1","1","South","2","86","Villanova","UNC Asheville","56","15","BE","BSth"
"2016","1","1","South","3","79","Miami","Buffalo","72","14","ACC","MAC"
"2016","1","1","South","4","66","California","Hawaii","77","13","P12","BW"
"2016","1","1","South","5","79","Maryland","South Dakota St","74","12","B10","Sum"
"2016","1","1","South","7","72","Iowa","Temple","70","10","B10","Amer"
"2016","1","1","South","8","67","Colorado","Connecticut","74","9","P12","Amer"
"2016","1","1","South","1","105","Kansas","Austin Peay","79","16","B12","OVC"
"2016","1","2","West","2","82","Oklahoma","Cal St Bakersfield","68","15","B12","WAC"
"2016","1","2","West","3","92","Texas A&M","Wisconsin Green Bay","65","14","SEC","Horz"
"2016","1","2","West","4","93","Duke","UNC Wilmington","85","13","ACC","CAA"
"2016","1","2","West","5","75","Baylor","Yale","79","12","B12","Ivy"
"2016","1","2","West","6","72","Texas","Northern Iowa","75","11","B12","MVC"
"2016","1","2","West","7","67","Oregon St","VCU","75","10","P12","A10"
"2016","1","2","West","8","78","St Josephs","Cincinnati","76","9","A10","Amer"
"2016","1","2","West","1","91","Oregon","Holy Cross","52","16","P12","Pat"
"2016","1","3","East","5","99","Indiana","Chattanooga","74","12","B10","SC"
"2016","1","3","East","1","83","North Carolina","Florida Gulf Coast","67","16","ACC","ASun"
"2016","1","3","East","2","71","Xavier","Weber St","53","15","BE","BSky"
"2016","1","3","East","3","56","West Virginia","Stephen F Austin","70","14","B12","Slnd"
"2016","1","3","East","4","85","Kentucky","Stony Brook","57","13","SEC","AE"
"2016","1","3","East","6","70","Notre Dame","Michigan","63","11","ACC","B10"
"2016","1","3","East","7","47","Wisconsin","Pittsburgh","43","10","B10","ACC"
"2016","1","3","East","8","69","USC","Providence","70","9","P12","BE"
"2016","1","4","Midwest","2","81","Michigan St","Middle Tennessee St","90","15","B10","CUSA"
"2016","1","4","Midwest","4","94","Iowa St","Iona","81","13","B12","MAAC"
"2016","1","4","Midwest","5","83","Purdue","Arkansas Little Rock","85","12","B10","SB"
"2016","1","4","Midwest","6","52","Seton Hall","Gonzaga","68","11","BE","WCC"
"2016","1","4","Midwest","7","51","Dayton","Syracuse","70","10","A10","ACC"
"2016","1","4","Midwest","8","61","Texas Tech","Butler","71","9","B12","BE"
"2016","1","4","Midwest","3","80","Utah","Fresno St","69","14","P12","MWC"
"2016","2","1","South","2","87","Villanova","Iowa","68","7","BE","B10"
"2016","2","1","South","13","60","Hawaii","Maryland","73","5","BW","B10"
"2016","2","1","South","1","73","Kansas","Connecticut","61","9","B12","Amer"
"2016","2","2","West","2","85","Oklahoma","VCU","81","10","B12","A10"
"2016","2","2","West","3","92","Texas A&M","Northern Iowa","88","11","SEC","MVC"
"2016","2","2","West","4","71","Duke","Yale","64","12","ACC","Ivy"
"2016","2","2","West","1","69","Oregon","St Josephs","64","8","P12","A10"
"2016","2","3","East","2","63","Xavier","Wisconsin","66","7","BE","B10"
"2016","2","3","East","14","75","Stephen F Austin","Notre Dame","76","6","Slnd","ACC"
"2016","2","3","East","4","67","Kentucky","Indiana","73","5","SEC","B10"
"2016","2","3","East","1","85","North Carolina","Providence","66","9","ACC","BE"
"2016","2","4","Midwest","15","50","Middle Tennessee St","Syracuse","75","10","CUSA","ACC"
"2016","2","4","Midwest","3","59","Utah","Gonzaga","82","11","P12","WCC"
